"question, query"
List all boardgames by GMT.,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P1344 wd_Q127050 sep_dot var_scientist wdt_P279* wd_Q901 sep_dot var_uri wdt_P106 var_scientist sep_dot var_uri wdt_P166 wd_Q35637 sep_dot bra_close 
How much did the Lego Movie cost?,SELECT DISTINCT var_val WHERE bra_open wd_Q2608065 wdt_P2130 var_val bra_close 
Who composed the music for Harold and Maude?,SELECT var_uri WHERE bra_open wd_Q368577 wdt_P86 var_uri sep_dot bra_close 
List all episodes of the first season of the HBO television series The Sopranos.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q21191270 sep_dot var_uri wdt_P361 wd_Q5274359 bra_close 
Which city has the least inhabitants?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q515 ; wdt_P1082 var_population sep_dot bra_close ORDER BY var_population LIMIT 1
Where is Syngman Rhee buried?,SELECT DISTINCT var_uri WHERE bra_open wd_Q171684 wdt_P119 var_uri sep_dot bra_close 
Does Neymar play for Real Madrid?,ASK WHERE bra_open wd_Q142794 wdt_P54 wd_Q8682 bra_close 
Who wrote the book The Pillars of the Earth?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1163227 wdt_P50 var_uri sep_dot bra_close 
Do Prince Harry and Prince William have the same parents?,ASK WHERE bra_open wd_Q152316 wdt_P22 var_father ; wdt_P25 var_mother sep_dot wd_Q36812 wdt_P22 var_father ; wdt_P25 var_mother sep_dot bra_close 
Who was the doctoral supervisor of Albert Einstein?,SELECT DISTINCT var_uri WHERE bra_open wd_Q937 wdt_P184 var_uri bra_close 
Does Breaking Bad have more episodes than Game of Thrones?,ASK WHERE bra_open wd_Q1079 wdt_P1113 var_nBbEpisodes sep_dot wd_Q23572 wdt_P1113 var_nGotEpisodes sep_dot FILTER( var_nBbEpisodes > var_nGotEpisodes) bra_close 
Who was Vincent van Gogh inspired by?,SELECT DISTINCT var_uri WHERE bra_open wd_Q5582 wdt_P737 var_uri sep_dot bra_close 
Which building after the Burj Khalifa has the most floors?,SELECT DISTINCT var_uri WHERE bra_open wd_Q12495 wdt_P1101 var_bkFloors sep_dot var_uri wdt_P1101 var_otherFloors sep_dot FILTER ( var_otherFloors > var_bkFloors) bra_close ORDER BY var_otherFloors LIMIT 1
How much did Pulp Fiction cost?,SELECT DISTINCT var_value WHERE bra_open wd_Q104123 wdt_P2130 var_value sep_dot bra_close 
Is proinsulin a protein?,ASK WHERE bra_open wd_Q426173 wdt_P31/wdt_P279* wd_Q8054 sep_dot bra_close 
Do Urdu and Persian have a common root?,ASK WHERE bra_open wd_Q1617 wdt_P279 var_uri sep_dot wd_Q9168 wdt_P279 var_uri sep_dot bra_close 
Who is starring in Spanish movies produced by Benicio del Toro?,SELECT DISTINCT var_uri WHERE bra_open var_movie wdt_P31 wd_Q11424 ; wdt_P162 wd_Q193668 ; wdt_P495 wd_Q29 ; wdt_P161 var_uri sep_dot bra_close 
Is Lake Baikal bigger than the Great Bear Lake?,ASK WHERE bra_open wd_Q5513 wdt_P2046 var_area1 sep_dot wd_Q5525 wdt_P2046 var_area2 sep_dot FILTER( var_area1 > var_area2) bra_close 
Show me all books in Asimov's Foundation series.,SELECT DISTINCT var_uri WHERE bra_open wd_Q1564644 wdt_P527 var_uri bra_close 
Where was Bach born?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1339 wdt_P19 var_uri sep_dot bra_close 
Which city has the oldest running metro?,SELECT DISTINCT var_uri WHERE bra_open var_metro wdt_P31 wd_Q5503 ; wdt_P571 var_inception ; wdt_P131 var_uri sep_dot bra_close ORDER BY var_inception LIMIT 1
Who designed the Brooklyn Bridge?,SELECT DISTINCT var_uri WHERE bra_open wd_Q125006 wdt_P287 var_uri sep_dot bra_close 
How many people live in Eurasia?,SELECT DISTINCT var_val WHERE bra_open wd_Q5401 wdt_P1082 var_val sep_dot bra_close 
"What is the total population of Melbourne, Florida?",SELECT DISTINCT var_val WHERE bra_open wd_Q949779 wdt_P1082 var_val sep_dot bra_close 
What country is Mount Everest in?,SELECT DISTINCT var_uri WHERE bra_open wd_Q513 wdt_P17 var_uri sep_dot bra_close 
To which artistic movement did the painter of The Three Dancers belong?,SELECT DISTINCT var_uri WHERE bra_open wd_Q3235867 wdt_P170 var_painter sep_dot var_painter wdt_P135 var_uri sep_dot bra_close 
When did Operation Overlord commence?,SELECT DISTINCT var_date WHERE bra_open wd_Q8641370 wdt_P580 var_date sep_dot bra_close 
What is the bridge with the longest span?,"SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31/wdt_P279* wd_Q12280 ; p_P2787 var_statement sep_dot var_statement psv_P2787 var_value sep_dot var_value wikibase_quantityAmount var_len sep_dot var_value wikibase_quantityUnit var_unit sep_dot BIND(IF( var_unit = wd_Q11573, var_len, IF( var_unit = wd_Q3710, var_len*0.3048, IF( var_unit = wd_Q253276, var_len*1609.34,IF( var_unit = wd_Q828224, var_len*1000, var_len)))) AS var_lenUnified) bra_close ORDER BY DESC( var_lenUnified) LIMIT 1"
Is there a video game called Battle Chess?,"ASK WHERE bra_open var_uri wdt_P31 wd_Q7889 sep_dot var_uri rdfs_label ""Battle Chess""@en bra_close "
Who was buried in the Great Pyramid of Giza?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P119 wd_Q3411252 sep_dot bra_close 
Did Socrates influence Aristotle?,ASK WHERE bra_open wd_Q868 wdt_P737 wd_Q913 sep_dot bra_close 
How many children did Benjamin Franklin have?,SELECT (COUNT(DISTINCT var_uri) as var_c) WHERE bra_open wd_Q34969 wdt_P40 var_uri sep_dot bra_close 
How tall is Michael Jordan?,SELECT DISTINCT var_val WHERE bra_open wd_Q41421 wdt_P2048 var_val sep_dot bra_close 
In which UK city are the headquarters of the MI6?,SELECT DISTINCT var_o1 WHERE bra_open wd_Q184560 wdt_P159 var_o1 sep_dot var_o1 wdt_P31 wd_Q515 sep_dot bra_close 
Who created Family Guy?,SELECT DISTINCT var_uri WHERE bra_open wd_Q5930 wdt_P170 var_uri bra_close 
Give me the grandchildren of Elvis Presley., SELECT DISTINCT var_o2 WHERE bra_open wd_Q303 wdt_P40 var_o1 sep_dot var_o1 wdt_P40 var_o2 bra_close 
When did the Ming dynasty dissolve?,SELECT DISTINCT var_date WHERE bra_open wd_Q9903 wdt_P576 var_date sep_dot bra_close 
In which military conflicts did Lawrence of Arabia participate?, SELECT DISTINCT var_o1 WHERE bra_open wd_Q170596 wdt_P607 var_o1 sep_dot bra_close 
What is the timezone in San Pedro de Atacama?, SELECT DISTINCT var_o1 WHERE bra_open wd_Q187893 wdt_P421 var_o1 sep_dot bra_close 
What did Bruce Carver die from?,SELECT DISTINCT var_o1 WHERE bra_open wd_Q4977246 wdt_P509 var_o1 sep_dot bra_close 
Does Abraham Lincoln's death place have a website?,ASK WHERE bra_open wd_Q91 wdt_P20 var_o1 sep_dot var_o1 wdt_P856 var_o2 sep_dot bra_close 
Did Elvis Presley have children?,ASK WHERE bra_open wd_Q303 wdt_P40 var_uri bra_close 
Is Michelle Obama the wife of Barack Obama?,ASK WHERE bra_open wd_Q76 wdt_P26 wd_Q13133 sep_dot bra_close 
In which city does Sylvester Stallone live?,SELECT DISTINCT var_uri WHERE bra_open wd_Q40026 wdt_P551 var_uri sep_dot var_uri wdt_P31 wd_Q515 sep_dot bra_close 
Which books by Kerouac were published by Viking Press?, SELECT DISTINCT var_s1 WHERE bra_open var_s1 wdt_P123 wd_Q921536 sep_dot var_s1 wdt_P31 wd_Q47461344 sep_dot var_s1 wdt_P50 wd_Q160534 sep_dot bra_close 
Who wrote the song Hotel California?,SELECT DISTINCT var_uri WHERE bra_open wd_Q780394 wdt_P86 var_uri bra_close 
What is the capital of Canada?,SELECT DISTINCT var_o1 WHERE bra_open wd_Q16 wdt_P36 var_o1 sep_dot bra_close 
Who is the mayor of Tel Aviv?,SELECT DISTINCT var_uri WHERE bra_open wd_Q33935 wdt_P6 var_uri sep_dot bra_close 
What form of government does Russia have?,SELECT DISTINCT var_uri WHERE bra_open wd_Q159 <p_P122> var_q sep_dot var_q <p_statement/P122> var_uri sep_dot FILTER NOT EXISTS bra_open var_q <p_qualifier/P582> var_x bra_close bra_close 
Show me the book that Muhammad Ali wrote.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q571 sep_dot var_uri wdt_P50 wd_Q36107 sep_dot bra_close 
Who was the first to climb Mount Everest?,SELECT var_s WHERE bra_open var_b ps_P793 wd_Q1194369 sep_dot var_b pq_P642 wd_Q513 sep_dot var_s p_P793 var_b sep_dot bra_close 
How many languages are spoken in Colombia?, SELECT (COUNT( var_s1) as var_c) WHERE bra_open var_s1 var_p1 wd_Q739 sep_dot var_s1 wdt_P31 wd_Q34770 sep_dot bra_close 
What is the currency of the Czech Republic?,SELECT DISTINCT var_uri WHERE bra_open wd_Q213 wdt_P38 var_uri sep_dot bra_close 
When did Boris Becker end his active career?,SELECT DISTINCT var_date WHERE bra_open wd_Q76334 <p_P106>/<p_qualifier/P582> var_date bra_close 
Which movies starring Mickey Rourke were directed by Guy Ritchie?,SELECT var_s1 WHERE bra_open var_s1 wdt_P161 wd_Q178552 sep_dot var_s1 wdt_P57 wd_Q192990 sep_dot var_s1 wdt_P31 wd_Q11424 sep_dot bra_close 
In which films did Julia Roberts as well as Richard Gere play?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q11424 sep_dot var_uri wdt_P161 wd_Q48410 sep_dot var_uri wdt_P161 wd_Q40523 sep_dot bra_close 
Show me Hemingway's autobiography.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P50 wd_Q23434 sep_dot var_uri wdt_P136 wd_Q4184 sep_dot bra_close 
How tall is Amazon Eve?,SELECT var_o1 bra_open wd_Q4740851 wdt_P2048 var_o1 sep_dot bra_close 
What are the five boroughs of New York?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q408804 sep_dot bra_close 
Give me all Canadian Grunge record labels., SELECT var_s1 WHERE bra_open var_s1 wdt_P136 wd_Q11365 sep_dot var_s1 wdt_P31 wd_Q18127 sep_dot var_s1 wdt_P17 wd_Q16 sep_dot bra_close 
In which country does the Ganges start?, SELECT var_o2 WHERE bra_open wd_Q5089 wdt_P885 var_o1 sep_dot var_o1 wdt_P17 var_o2 sep_dot bra_close 
Who is the founder of Penguin Books?,SELECT var_o1 WHERE bra_open wd_Q1336200 wdt_P112 var_o1 sep_dot bra_close 
Who wrote the Game of Thrones theme?,SELECT DISTINCT var_uri WHERE bra_open wd_Q23572 wdt_P86 var_uri sep_dot bra_close 
Who is the president of Eritrea?,SELECT DISTINCT var_uri WHERE bra_open wd_Q986 wdt_P35 var_uri bra_close 
In which city did John F. Kennedy die?,SELECT DISTINCT var_uri WHERE bra_open wd_Q9696 wdt_P20/wdt_P131 var_uri sep_dot var_uri wdt_P31 wd_Q515 sep_dot bra_close 
What is the highest mountain in Australia?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q8502 sep_dot var_uri wdt_P30 wd_Q3960 sep_dot var_uri wdt_P2044 var_height sep_dot bra_close ORDER BY DESC( var_height) LIMIT 1
Give me the currency of China.,SELECT var_o1 WHERE bra_open wd_Q148 wdt_P38 var_o1 sep_dot bra_close 
Give me all Swedish oceanographers.,SELECT var_s1 WHERE bra_open var_s1 wdt_P27 wd_Q34 sep_dot var_s1 wdt_P106 wd_Q3546255 sep_dot bra_close 
In which city are the headquarters of the United Nations?,SELECT DISTINCT var_uri WHERE bra_open wd_Q11297 wdt_P131 var_uri sep_dot bra_open var_uri wdt_P31 wd_Q515 sep_dot bra_close UNION bra_open var_uri wdt_P31/wdt_P279 wd_Q515 sep_dot bra_close bra_close 
Is Rita Wilson the wife of Tom Hanks?,ASK WHERE bra_open wd_Q2263 wdt_P26 wd_Q234144 sep_dot bra_close 
In which countries do people speak Japanese?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q6256 sep_dot var_uri wdt_P37 wd_Q5287 sep_dot bra_close 
Which of Tim Burton's films had the highest budget?, SELECT DISTINCT var_s1 WHERE bra_open var_s1 var_p1 wd_Q56008 sep_dot var_s1 wdt_P31 wd_Q11424 sep_dot var_s1 wdt_P2769 var_o1 bra_close order by var_o1 limit 1
Which museum in New York has the most visitors?, SELECT var_s1 WHERE bra_open var_s1 wdt_P159 wd_Q60 sep_dot var_s1 wdt_P31 wd_Q33506 sep_dot var_s1 wdt_P1174 var_o1 bra_close order by var_o1 limit 1
What was the first Queen album?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q482994 sep_dot var_uri wdt_P175 wd_Q15862 sep_dot var_uri wdt_P577 var_date bra_close ORDER BY var_date LIMIT 1
What was the last movie with Alec Guinness?,SELECT DISTINCT var_s1 WHERE bra_open var_s1 wdt_P31 wd_Q11424 sep_dot var_s1 wdt_P161 wd_Q103894 sep_dot var_s1 wdt_P577 var_o1 sep_dot bra_close order by DESC( var_o1) limit 1
Give me all actors starring in Last Action Hero.,SELECT var_o1 WHERE bra_open wd_Q858840 wdt_P161 var_o1 sep_dot bra_close 
Who discovered Pluto?,SELECT var_o1 WHERE bra_open wd_Q339 wdt_P61 var_o1 sep_dot var_o1 wdt_P31 wd_Q5 sep_dot bra_close 
